address,drink_names,prices,ratings,statuss,store_names
"19 An Trung Đông 4, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Nước chanh xí muội,29000,4.5,Còn hàng,The Nap Cafe
"19 An Trung Đông 4, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Sữa Chua Cà Phê,30000,4.5,Còn hàng,The Nap Cafe
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Pudding Khoai Môn,5000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"953 Ngô Quyền, Quận Sơn Trà, Đà Nẵng",Thuyền nhỏ trái cây,35000,4.5,Còn hàng,Hali - Juice & Coffee - Ngô Quyền
"1877 Nguyễn Tất Thành, P. Thanh Khê Tây, Quận Liên Chiểu, Đà Nẵng",Xúc Xích Chiên ( 1 Xiên ),12000,4.5,Còn hàng,Fast Way Tea - Sữa Tươi Trân Châu - Nguyễn Tất Thành
"42 - 44 Hồ Tương, P. Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Socola đá xay tiramisu,32000,4.5,Còn hàng,My's Coffee
"5 Phan Đình Phùng, P. Hải Châu I, Quận Hải Châu, Đà Nẵng",1 chai Thái Xanh Còn hàng Khúc Bạch,32000,4.5,Còn hàng,Boconganh Bobatea
"122 Lương Nhữ Hộc, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Nước chanh sả hạt chia (đá),22000,4.5,Còn hàng,Vivi's Coffee House
"154 Dũng Sĩ Thanh Khê, P. Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Hồng Trà Vải,25000,4.5,Còn hàng,Trà Sữa Mixue - Dũng Sĩ Thanh Khê
"K126/23 Nguyễn Duy Hiệu, P. An Hải Đông, Quận Sơn Trà, Đà Nẵng",Cacao Trân Châu Đường Đen Kem Trứng,35000,4.5,Còn hàng,2CE - Trà Sữa & Ăn Vặt
"382 Nguyễn Hoàng, P. Bình Thuận, Quận Hải Châu, Đà Nẵng",Đậu xanh rau má nước dừa,20000,4.5,Còn hàng,Sinh Tố - Nước Ép Cô Thu - Nguyễn Hoàng
"292A Tôn Đản, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",Bánh Tráng Lát Thập Cẩm,15000,4.5,Còn hàng,BandB - Cafe & Trà Sữa - Tôn Đản
"10 Khúc Hạo, P. Mân Thái, Quận Sơn Trà, Đà Nẵng",Trà đào cam sả,25000,4.5,Còn hàng,Trà Sữa & Cà Phê Sắc Màu
"20 An Trung 2, P. An Hải Tây, Quận Sơn Trà, Đà Nẵng",Weight loss: giảm cân 3,40000,4.5,Còn hàng,Sunny Coffee - An Trung 2
"78 Ngô Thì Nhậm, P. Hoà Minh, Quận Liên Chiểu, Đà Nẵng",Cà phê đen Sài Gòn,15000,4.5,Còn hàng,Sinh Tố Nga
"209 Phan Đăng Lưu, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Sinh tố chanh dây,32000,4.5,Còn hàng,Milano Coffee - Phan Đăng Lưu
"605B Tôn Đức Thắng, P Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Trà Quất Đào Hồng,25000,4.5,Còn hàng,Mao - Coffee & BoBa Tea
"19 An Trung Đông 4, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Da cá trứng muối,40000,4.5,Còn hàng,The Nap Cafe
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Thạch Trà Xanh,5000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"953 Ngô Quyền, Quận Sơn Trà, Đà Nẵng",Thuyền lớn trái cây,50000,4.5,Còn hàng,Hali - Juice & Coffee - Ngô Quyền
"1877 Nguyễn Tất Thành, P. Thanh Khê Tây, Quận Liên Chiểu, Đà Nẵng",Gà Xiên Chiên ( 1 Xiên ),18000,4.5,Còn hàng,Fast Way Tea - Sữa Tươi Trân Châu - Nguyễn Tất Thành
"42 - 44 Hồ Tương, P. Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Socola đá xay vani,32000,4.5,Còn hàng,My's Coffee
"5 Phan Đình Phùng, P. Hải Châu I, Quận Hải Châu, Đà Nẵng",1 chai Truyền Thống Còn hàng Jelly,30000,4.5,Còn hàng,Boconganh Bobatea
"122 Lương Nhữ Hộc, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Nước chanh,18000,4.5,Còn hàng,Vivi's Coffee House
"154 Dũng Sĩ Thanh Khê, P. Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Trà Sữa 3Q,25000,4.5,Còn hàng,Trà Sữa Mixue - Dũng Sĩ Thanh Khê
"K126/23 Nguyễn Duy Hiệu, P. An Hải Đông, Quận Sơn Trà, Đà Nẵng",Sữa Tươi Than Tre Trân Châu Đường Đen Kem Cheese,40000,4.5,Còn hàng,2CE - Trà Sữa & Ăn Vặt
"382 Nguyễn Hoàng, P. Bình Thuận, Quận Hải Châu, Đà Nẵng",Trà đào. Trà vải. Trà chanh. Trà dâu. Trà tắc.,17000,4.5,Còn hàng,Sinh Tố - Nước Ép Cô Thu - Nguyễn Hoàng
